id;transaction_no;amount;wallet_action;user_previous_transaction_no;total_before_action;total_after_action;payment_type;payment_reference;notes;wallet_owner_type;created_by;created_date;last_modified_by;last_modified_date
1;electronics including second-hand;2526.7;WITHDRAW;with;9157.75;4229.09;SADAD;monopolize;astonishing correctly matter;POST_OFFICE;smoothly thankfully before;2023-12-03T14:48:36;necessitate uh-huh zowie;2023-12-03T16:05:26
2;rewarding whoa homestead;13372;DEPOSIT;boohoo puny shrilly;31600.65;16851.85;CASH;bah ah pish;zowie what exit;POST_OFFICE;circa gee gah;2023-12-04T01:25:45;sans among;2023-12-04T02:22:13
3;over beside tactile;30672.01;WITHDRAW;ram along;12745.89;2877.51;ADFALI;pimple since and;off huzzah;MERCHANT;secretion overconfidently;2023-12-04T01:58:24;wombat;2023-12-04T07:46:27
4;meh subtitle until;24315.64;DEPOSIT;swish;24070.32;26050.57;MOAMALAT;opposite unnecessarily though;mockingly comprehension;CONSUMER;loosely assert;2023-12-04T02:12:35;while psst except;2023-12-04T01:18:10
5;extra-small;22592;WITHDRAW;apropos though;19347.65;21222.89;TADAWUL;inscription toward;serpentine;CONSUMER;concrete;2023-12-04T01:19:26;endpoint psst;2023-12-04T02:13:02
6;likable slowly;25543.55;WITHDRAW;slowly excepting as;19895.68;28538.1;WALLET;instantly;fillet abaft;CONSUMER;rarely fairly;2023-12-03T16:36:33;onto;2023-12-03T12:59:33
7;nor whoever;25833.39;WITHDRAW;continually aw fruitful;29354.84;22260.62;WALLET;furthermore;actually;CONSUMER;indelible whine monthly;2023-12-03T12:29:15;jam-packed;2023-12-03T11:26:16
8;regarding considering;24335.57;DEPOSIT;yowza;3365.19;19148.83;MOAMALAT;whether neglect after;frenetically;CONSUMER;guillotine;2023-12-04T05:08:47;endanger foam;2023-12-03T17:20:14
9;practice beside nearly;18676.86;DEPOSIT;aw joshingly;20690.96;4148.63;SADAD;into through;playfully;MERCHANT;freely;2023-12-03T21:02:49;ouch bewitched uh-huh;2023-12-03T16:15:11
10;deeply needily;2850.18;DEPOSIT;supposing till;25297.41;7521.58;TADAWUL;spotlight painfully;unfinished chilly;CONSUMER;ouch wriggler falsify;2023-12-03T21:11:14;reckless;2023-12-03T19:25:04
